Version,CommitId,Fichier,ContientBogue,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,CommitsChanged,CommitsBeforeVersion
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestPhase.java,False,10,0,9,0,1,,,,1.0,3.0,12.0,6,3.0,17.0,6,2.0,1.0,2.0,1,,139,12,108,60.0,55,19,,81,89.0,59.0,33,2,,1,,0.0,18,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractVectorDesc.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,1,1.0,0.0,1,0.0,0.0,0.0,1,,27,3,7,4.0,1,17,,2,4.0,3.0,1,1,,0,,2.0,43,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloCompositeRowId.java,False,13,3,7,3,1,,,,1.0,0.0,0.0,3,3.0,0.0,3,0.0,0.0,0.0,3,,95,15,32,20.0,12,48,,23,28.0,20.0,13,2,,1,,1.0,50,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloConnectionParameters.java,False,9,1,7,2,2,,,,1.0,0.0,9.0,17,17.0,2.0,17,3.0,0.0,0.0,14,,230,39,142,56.0,78,49,,75,105.0,56.0,61,4,,2,,0.0,35,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloHiveConstants.java,False,0,0,0,0,0,,,,1.0,0.0,11.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,42,7,14,13.0,10,21,,9,10.0,10.0,5,0,,0,,1.0,50,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloHiveRow.java,False,8,0,8,0,2,,,,2.0,0.0,0.0,21,21.0,5.0,21,0.0,0.0,0.0,21,,247,36,185,63.0,97,26,,93,143.0,62.0,93,10,,3,,0.0,14,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloPredicateHandler.java,False,19,2,13,5,3,,,,1.0,1.0,6.0,16,15.0,0.0,16,0.0,2.0,1.0,13,,426,50,277,128.0,161,99,,168,213.0,118.0,132,7,,2,,0.0,36,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloQTestUtil.java,False,6,1,5,1,1,,,,1.0,0.0,0.0,2,2.0,0.0,2,0.0,0.0,0.0,2,,38,4,13,7.0,3,21,,5,8.0,5.0,3,1,,0,,1.0,62,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloRangeGenerator.java,False,29,3,22,6,6,,,,1.0,0.0,1.0,9,9.0,3.0,9,0.0,0.0,7.0,2,,338,36,237,75.0,140,75,,119,179.0,75.0,113,14,,6,,0.0,32,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloRowIdFactory.java,False,0,0,0,0,0,,,,1.0,0.0,0.0,5,5.0,0.0,5,0.0,0.0,0.0,5,,67,8,19,18.0,0,40,,15,16.0,16.0,0,0,,0,,2.0,11,1,0
